Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,Total Deaths,Total Missing,Total Injuries,Total Damage ($Mil),Total Houses Destroyed,
2015,7,31,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,,,2,,,
2015,10,16,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,1,,,,,
2015,10,,,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,1,,,,,
2016,5,9,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,1,,4,,,
2016,5,21,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,7,,3,100,,
2016,6,9,,,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,1,,,,,
2016,9,27,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,,44,,,,
2016,10,8,,,Asosan,Kyushu-Japan,Japan,32.884,131.104,1592,Caldera,,,,,,
2017,3,15,,,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,10,,,
2017,4,13,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,
2017,6,6,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,,,,,,
2017,7,1,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,8,,11,,,
2017,9,12,,,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,3,,,,,
2017,9,23,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,,,,,,
2017,12,18,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,8,,8,,,
2017,12,27,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,
2018,1,5,,,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,,,,,,
2018,1,13,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,,1972,3.564,,
2018,1,23,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,36.618,138.528,2165,Stratovolcano,1,,11,,,
2018,2,1,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,1,,3,,,
2018,2,9,5676,,Kadovar,New Guinea-NE of,Papua New Guinea,-3.608,144.588,365,Stratovolcano,,,,,,
2018,3,21,,,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,,,30,,,
2018,3,30,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,4,,,,,
2018,4,28,5678,10332,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,1,370,716,
2018,5,6,5796,10556,Sumisujima,Izu Is-Japan,Japan,31.44,140.051,136,Submarine volcano,,,,,,
2018,6,3,,,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,201,229,27,120,186,
2018,7,16,,,Kilauea,Hawaiian Is,United States,19.421,-155.287,1222,Shield volcano,,,23,1,,
2018,8,25,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,,,,,164,
2018,12,15,,10382,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,,,,,,
2018,12,22,5699,,Krakatau,Indonesia,Indonesia,-6.102,105.423,155,Caldera,437,10,31943,250,2844,
2018,12,26,,10383,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,,,28,115,15,
2019,1,7,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,,,,,,
2019,5,7,,,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,,,,,,
2019,6,26,,,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,,,2,14,,
2019,6,28,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,,,,,,
2019,7,3,5913,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,1,,1,,,
2019,8,28,5716,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,
2019,12,9,,,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,22,,25,,,
2020,1,12,,,Taal,Luzon-Philippines,Philippines,14.002,120.993,311,Stratovolcano,39,,,67,4573,
2020,5,29,5748,10501,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,1,,,,,
2021,3,5,,,Sangay,Ecuador,Ecuador,-2.005,-78.341,5286,Stratovolcano,,,,,,
2021,3,,,,Pacaya,Guatemala,Guatemala,14.382,-90.601,2569,Complex volcano,,,,,,
2021,4,9,5905,,Soufriere St. Vincent,W Indies,St. Vincent & the Grenadines,13.33,-61.18,1220,Stratovolcano,,,,325,,
2021,5,19,5912,,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,,,,,,
2021,5,22,,10545,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,32,,,,5000,
